Source Plate Barcode,Source Well,Destination Plate Barcode,Destination Well,Transfer Volume,Offset
source_A_L1,A3,dest_EY_A_P1,E5,500,
source_A_L1,A5,dest_EY_A_P1,E5,500,
source_A_L1,B7,dest_EY_A_P1,E5,500,
source_A_L1,B9,dest_EY_A_P1,E5,500,
source_A_L1,A11,dest_EY_A_P1,E5,500,
source_A_L1,B17,dest_EY_A_P1,E5,500,
source_A_L1,B23,dest_EY_A_P1,E5,500,
source_A_L1,C5,dest_EY_A_P1,E5,500,
source_A_L1,A1,dest_EY_A_P1,E6,500,
source_A_L1,A3,dest_EY_A_P1,E6,500,
source_A_L1,A17,dest_EY_A_P1,E6,500,
source_A_L1,A7,dest_EY_A_P1,E6,500,
source_A_L1,A9,dest_EY_A_P1,E6,500,
source_A_L1,A11,dest_EY_A_P1,E6,500,
source_A_L1,B17,dest_EY_A_P1,E6,500,
source_A_L1,B23,dest_EY_A_P1,E6,500,
source_A_L1,C5,dest_EY_A_P1,E6,500,
source_A_L1,A13,dest_EY_A_P1,E7,500,
source_A_L1,A15,dest_EY_A_P1,E7,500,
source_A_L1,A17,dest_EY_A_P1,E7,500,
source_A_L1,A19,dest_EY_A_P1,E7,500,
source_A_L1,A9,dest_EY_A_P1,E7,500,
source_A_L1,A11,dest_EY_A_P1,E7,500,
source_A_L1,B17,dest_EY_A_P1,E7,500,
source_A_L1,B23,dest_EY_A_P1,E7,500,
source_A_L1,C5,dest_EY_A_P1,E7,500,
source_A_L1,A13,dest_EY_A_P1,E8,500,
source_A_L1,B3,dest_EY_A_P1,E8,500,
source_A_L1,A5,dest_EY_A_P1,E8,500,
source_A_L1,B7,dest_EY_A_P1,E8,500,
source_A_L1,A21,dest_EY_A_P1,E8,500,
source_A_L1,B11,dest_EY_A_P1,E8,500,
source_A_L1,B17,dest_EY_A_P1,E8,500,
source_A_L1,B23,dest_EY_A_P1,E8,500,
source_A_L1,C5,dest_EY_A_P1,E8,500,
source_A_L1,B1,dest_EY_A_P1,E9,500,
source_A_L1,A3,dest_EY_A_P1,E9,500,
source_A_L1,A5,dest_EY_A_P1,E9,500,
source_A_L1,B7,dest_EY_A_P1,E9,500,
source_A_L1,A21,dest_EY_A_P1,E9,500,
source_A_L1,B11,dest_EY_A_P1,E9,500,
